Probe.ID	module
A_23_P215658	1
A_23_P215778	1
A_23_P215819	1
A_23_P215832	1
A_23_P215875	1
A_23_P215900	2
A_23_P215956	1
A_23_P216043	1
A_23_P216068	1
A_23_P21618	2
A_23_P216188	1
A_23_P216200	1
A_23_P216278	1
A_23_P216307	2
A_23_P216340	5
A_23_P216355	1
A_23_P216376	1
A_23_P216396	1
A_23_P216448	2
A_23_P216649	1
A_23_P216779	1
A_23_P216845	1
A_23_P216970	5
A_23_P217054	1
A_23_P21706	1
A_23_P217088	2
A_23_P217236	1
A_23_P217367	4
A_23_P217411	1
A_23_P217428	2
A_23_P217637	1
A_23_P217666	2
A_23_P217737	2
A_23_P217866	1
A_23_P218068	2
A_23_P218317	1
A_23_P218369	2
A_23_P218434	3
A_23_P218456	1
A_23_P218555	1
A_23_P218637	2
A_23_P218817	1
A_23_P218835	1
A_23_P218858	2
A_23_P218879	3
A_23_P218884	1
A_23_P218892	1
A_23_P218997	1
A_23_P219045	1
A_23_P22072	1
A_23_P22263	1
A_23_P22350	4
A_23_P22382	1
A_23_P22398	2
A_23_P22473	1
A_23_P22682	2
A_23_P2271	1
A_23_P23048	1
A_23_P23114	4
A_23_P23206	1
A_23_P23296	1
A_23_P233	4
A_23_P23303	1
A_23_P23346	1
A_23_P23411	1
A_23_P23443	3
A_23_P23572	1
A_23_P23705	2
A_23_P23834	2
A_23_P23839	2
A_23_P23983	4
A_23_P24104	5
A_23_P24157	4
A_23_P2423	1
A_23_P24275	1
A_23_P24457	2
A_23_P24507	2
A_23_P24586	2
A_23_P247	1
A_23_P24716	1
A_23_P2474	1
A_23_P24870	1
A_23_P2492	1
A_23_P24926	5
A_23_P24997	1
A_23_P250042	1
A_23_P250118	1
A_23_P25019	1
A_23_P250196	1
A_23_P250212	1
A_23_P250313	1
A_23_P250444	4
A_23_P250571	4
A_23_P25060	1
A_23_P25069	1
A_23_P250735	2
A_23_P250825	1
A_23_P250904	1
A_23_P250910	1
A_23_P25097	1
A_23_P250982	4
A_23_P251002	1
A_23_P251043	7
A_23_P251316	3
A_23_P251342	1
A_23_P251421	1
A_23_P25150	1
A_23_P25155	5
A_23_P251574	1
A_23_P25163	1
A_23_P251771	1
A_23_P251825	1
A_23_P251916	2
A_23_P252106	5
A_23_P252335	1
A_23_P252362	1
A_23_P252556	2
A_23_P252642	1
A_23_P252681	1
A_23_P252740	1
A_23_P252808	2
A_23_P252855	1
A_23_P252857	1
A_23_P25293	1
A_23_P253145	5
A_23_P253200	2
A_23_P253221	1
A_23_P253368	1
A_23_P253389	1
A_23_P253434	1
A_23_P253524	1
A_23_P253752	1
A_23_P253841	1
A_23_P253963	1
A_23_P253982	2
A_23_P254165	2
A_23_P254271	1
A_23_P25433	1
A_23_P254415	3
A_23_P254512	1
A_23_P254573	1
A_23_P254612	1
A_23_P254733	1
A_23_P254741	2
A_23_P254756	2
A_23_P254934	2
A_23_P255016	1
A_23_P25503	2
A_23_P255286	1
A_23_P255503	1
A_23_P255750	1
A_23_P255785	1
